index,created_at,text,like_count,retweet_count,reply_count,quote_count
66,2022-07-27T06:58:50.000Z,RT @majitoutomi: 私「ヤンボー」\n母「マー坊天気予報」\n私「おお…本当に言っ」\n母「ﾎﾞｸﾉﾅﾏｴﾊﾔﾝﾎﾞｰﾎﾞｸﾉﾅﾏｴﾊﾏｰﾎﾞ-ﾌﾀﾘｱﾜｾﾃﾔﾝﾏｰﾀﾞｰｷｰﾐﾄﾎﾞｸﾄﾃﾞﾔﾝﾏｰﾀﾞｰ」\n私「えっ何怖い」\n母「ﾁｲｻﾅﾓﾉｶﾗｵｵｷﾅﾓﾉﾏﾃﾞ」…,0,33579,0,0
67,2022-06-15T15:47:53.000Z,夜中の横浜、視界に6匹以上のネズミが入ってくる…,3,0,0,0
68,2022-06-13T13:51:46.000Z,RT @lumos_program: 【活動報告】\n\n先週末にLumos初となる対面勉強会を開催しました！\n\n「Nuxt.jsで作るタイピングゲーム」というテーマで、今回が初めてのプログラミング経験になったメンバーも含む約20人が参加し、大好評でした！\n\n各々が楽しく有益な体験…,0,2,0,0
69,2022-06-07T01:34:40.000Z,休講って本当に存在したんだ,3,0,0,0
70,2022-06-06T23:13:33.000Z,RT @livedoornews: 【また】波平&amp;ワカメちゃんの“毛”が抜かれる…商店街理事長｢6回ぐらい抜かれてその都度“植毛”｣\nhttps://t.co/NwssBExIJX\n\n東京・世田谷区桜新町にある一家の銅像。「波平さん」は過去にも、何者かによって何度も髪の毛を抜か…,0,9406,0,0
71,2022-05-31T14:49:49.000Z,ワクワク https://t.co/04m4ap7d37,1,0,0,0
72,2022-05-29T16:10:47.000Z,息を吸い込んだ https://t.co/QngaqNeP2u,0,0,0,0
73,2022-05-27T10:12:43.000Z,なぜ実家に帰ってきたタイミングで大学から成績通知が来るのか。親の怒りが再燃してしまうではないか。,3,0,0,0
74,2022-05-27T09:20:32.000Z,雨が上がって湿気と一緒に昇ってくる道路の独特な匂いが美味い。,2,0,0,0
75,2022-05-25T21:42:33.000Z,RT @0e2b3c: LMSをカラフルにできる拡張機能を作りました。\n28種類の既存テーマに加え、自分だけのオリジナルLMSを作ることも可能です。\nダウンロード無しで入れることができるので、もしよければ入れてみて下さい。\n詳細は下の動画をご覧下さい。\nhttps://t.co…,0,16,0,0
76,2022-05-15T17:13:14.000Z,macで講義資料全画面表示派の人は、Cmd+Shift+Fが効果抜群\nついでに、PDF連続スクロールにしたい人はCmd+1で倒せる。,0,0,0,0
77,2022-05-06T10:44:15.000Z,ネタツイは面白くなくても心持ちポジティブになれるし、情報系は役立つけど、人を刺すツイートだけは対象が自分じゃなくてもガンガンMP削ってくる。,0,0,0,0
78,2022-05-06T03:23:39.000Z,@kiha2228 ブックマークした,1,0,0,0
